Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:LVE,"Love Group Global Limited (ASX:LVE)",https://www.listcorp.com/asx/lve/love-group-global-limited,"	5269440",0.135,0.01,3.85,"Communication Services"
ASX:RKT,"RocketDNA Limited (ASX:RKT)",https://www.listcorp.com/asx/rkt/rocketdna-limited,"	5248920",0.008,0.00,0,"Information Technology"
ASX:NMR,"Native Mineral Resources Holdings Limited (ASX:NMR)",https://www.listcorp.com/asx/nmr/native-mineral-resources-holdings-limited,"	5246260",0.025,0.00,0,Materials
ASX:FGL,"Frugl Group Limited (ASX:FGL)",https://www.listcorp.com/asx/fgl/frugl-group-limited,"	5235820",0.05,0.00,0,"Information Technology"
ASX:T92,"Terra Uranium Limited (ASX:T92)",https://www.listcorp.com/asx/t92/terra-uranium-limited,"	5229990",0.087,0.00,0,Energy
ASX:AUA,"Audeara Limited (ASX:AUA)",https://www.listcorp.com/asx/aua/audeara-limited,"	5228070",0.036,0.00,0,"Consumer Discretionary"
ASX:POW,"Protean Energy Limited (ASX:POW)",https://www.listcorp.com/asx/pow/protean-energy-limited,"	5204900",0.008,0.00,0,Materials
ASX:FIN,"Fin Resources Limited (ASX:FIN)",https://www.listcorp.com/asx/fin/fin-resources-limited,"	5194150",0.008,0.00,0,Materials
ASX:1AG,"Alterra Limited (ASX:1AG)",https://www.listcorp.com/asx/1ag/alterra-limited,"	5172880",0.006,0.00,0,"Consumer Staples"
ASX:DTM,"Dart Mining NL (ASX:DTM)",https://www.listcorp.com/asx/dtm/dart-mining,"	5168660",0.02,0.00,0,Materials
ASX:BUS,"Bubalus Resources Limited (ASX:BUS)",https://www.listcorp.com/asx/bus/bubalus-resources-limited,"	5147790",0.155,-0.01,-3.13,Materials
ASX:HXG,"Hexagon Energy Materials Limited (ASX:HXG)",https://www.listcorp.com/asx/hxg/hexagon-energy-materials-limited,"	5129160",0.01,0.00,0,Materials
ASX:IEQ,"International Equities Corporation Ltd (ASX:IEQ)",https://www.listcorp.com/asx/ieq/international-equities-corporation,"	5128940",0.04,0.00,0,"Real Estate"
ASX:WGR,"Western Gold Resources Limited (ASX:WGR)",https://www.listcorp.com/asx/wgr/western-gold-resources-limited,"	5110650",0.03,0.00,0,Materials
ASX:IBAL,"iShares Balanced ESG ETF (ASX:IBAL)",https://www.listcorp.com/asx/ibal/ishares-balanced-esg-etf,"	5104620",28.35,0.00,0,Unclassified
ASX:OZZ,"OZZ Resources Limited (ASX:OZZ)",https://www.listcorp.com/asx/ozz/ozz-resources-limited,"	5089160",0.055,0.00,0,Materials
ASX:SP3,"Spectur Limited (ASX:SP3)",https://www.listcorp.com/asx/sp3/spectur-limited,"	5082470",0.0185,-0.00,-2.63,"Information Technology"
ASX:IUSG,"iShares U.S. Treasury Bond (AUD Hedged) ETF (ASX:IUSG)",https://www.listcorp.com/asx/iusg/ishares-u.s.-treasury-bond-aud-hedged-etf,"	5069740",101.34,0.00,0,Unclassified
ASX:CE1,"Calima Energy Limited (ASX:CE1)",https://www.listcorp.com/asx/ce1/calima-energy-limited,"	5067490",0.0095,0.00,18.75,Energy
ASX:AKN,"Auking Mining Limited (ASX:AKN)",https://www.listcorp.com/asx/akn/auking-mining-limited,"	5041720",0.019,0.00,0,Materials
ASX:MHK,"Metal Hawk Limited (ASX:MHK)",https://www.listcorp.com/asx/mhk/metal-hawk-limited,"	5033500",0.05,0.00,0,Materials
ASX:A1G,"African Gold Limited (ASX:A1G)",https://www.listcorp.com/asx/a1g/african-gold-limited,"	5023530",0.021,0.00,0,Materials
ASX:JBY,"James Bay Minerals Limited (ASX:JBY)",https://www.listcorp.com/asx/jby/james-bay-minerals-limited,"	5016380",0.155,0.00,3.33,Materials
ASX:TMB,"Tambourah Metals Ltd (ASX:TMB)",https://www.listcorp.com/asx/tmb/tambourah-metals-ltd,"	4976420",0.0575,-0.00,-4.17,Materials
ASX:HFY,"Hubify Limited (ASX:HFY)",https://www.listcorp.com/asx/hfy/hubify-limited,"	4961360",0.01,0.00,0,"Communication Services"
ASX:CHR,"Charger Metals NL (ASX:CHR)",https://www.listcorp.com/asx/chr/charger-metals-nl,"	4954900",0.064,0.00,0,Materials
ASX:TD1,"TALI Digital Limited (ASX:TD1)",https://www.listcorp.com/asx/td1/tali-digital-limited,"	4942730",0.001,-0.00,-33.33,"Health Care"
ASX:TAR,"Taruga Minerals Limited (ASX:TAR)",https://www.listcorp.com/asx/tar/taruga-minerals-limited,"	4942190",0.007,0.00,0,Materials
ASX:DTI,"DTI Group (ASX:DTI)",https://www.listcorp.com/asx/dti/dti-group,"	4934070",0.011,0.00,0,"Information Technology"
ASX:TMZ,"Thomson Resources Ltd (ASX:TMZ)",https://www.listcorp.com/asx/tmz/thomson-resources,"	4881020",0.005,0.00,0,Materials
ASX:CMD,"Cassius Mining Limited (ASX:CMD)",https://www.listcorp.com/asx/cmd/cassius-mining-limited,"	4878040",0.009,0.00,0,Materials
ASX:WML,"Woomera Mining Limited (ASX:WML)",https://www.listcorp.com/asx/wml/woomera-mining-limited,"	4872560",0.004,0.00,0,Materials
ASX:DDT,"DataDot Technology Limited (ASX:DDT)",https://www.listcorp.com/asx/ddt/datadot-technology-limited,"	4843810",0.004,0.00,0,"Consumer Discretionary"
ASX:OAR,"Oar Resources Limited (ASX:OAR)",https://www.listcorp.com/asx/oar/oar-resources-limited,"	4833150",0.002,0.00,33.33,Materials
ASX:ITEK,"iShares Future Tech Innovators ETF (ASX:ITEK)",https://www.listcorp.com/asx/itek/ishares-future-tech-innovators-etf,"	4833000",26.5,-0.35,-1.3,Unclassified
ASX:PVL,"Powerhouse Ventures Limited (ASX:PVL)",https://www.listcorp.com/asx/pvl/powerhouse-ventures-limited,"	4829730",0.043,0.00,7.5,Financials
ASX:MXO,"Motio Limited (ASX:MXO)",https://www.listcorp.com/asx/mxo/motio-limited,"	4827570",0.018,0.00,0,"Communication Services"
ASX:AM7,"Arcadia Minerals Limited (ASX:AM7)",https://www.listcorp.com/asx/am7/arcadia-minerals-limited,"	4799050",0.042,0.00,2.44,Materials
ASX:DCL,"Domacom Limited (ASX:DCL)",https://www.listcorp.com/asx/dcl/domacom-limited,"	4790520",0.011,0.00,0,Financials
ASX:M2M,"Mt Malcolm Mines NL (ASX:M2M)",https://www.listcorp.com/asx/m2m/mt-malcolm-mines-nl,"	4789870",0.028,0.00,7.69,Materials
ASX:IBG,"Ironbark Zinc Limited (ASX:IBG)",https://www.listcorp.com/asx/ibg/ironbark-zinc,"	4781620",0.004,0.00,33.33,Materials
ASX:HPP,"Health and Plant Protein Group Limited (ASX:HPP)",https://www.listcorp.com/asx/hpp/health-and-plant-protein-group-limited,"	4765940",0.042,0.00,0,"Consumer Staples"
ASX:ICE,"iCetana Limited (ASX:ICE)",https://www.listcorp.com/asx/ice/icetana-limited,"	4763310",0.018,0.00,0,"Information Technology"
ASX:LRL,"Labyrinth Resources Limited (ASX:LRL)",https://www.listcorp.com/asx/lrl/labyrinth-resources-limited,"	4750180",0.004,0.00,0,Materials
ASX:IRX,"InhaleRx Limited (ASX:IRX)",https://www.listcorp.com/asx/irx/inhalerx-limited,"	4744170",0.025,0.00,0,"Health Care"
